video_id,gloss,signer_id,split,video_path
69241,book,118,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/69241.mp4
07069,book,31,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/07069.mp4
07068,book,36,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/07068.mp4
07070,book,59,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/07070.mp4
07099,book,12,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/07099.mp4
07074,book,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/07074.mp4
69302,drink,115,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/69302.mp4
65539,drink,94,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/65539.mp4
17710,drink,36,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17710.mp4
17733,drink,12,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17733.mp4
65540,drink,94,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/65540.mp4
17734,drink,12,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17734.mp4
17711,drink,52,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17711.mp4
17712,drink,6,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17712.mp4
17713,drink,21,test,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17713.mp4
17709,drink,2,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17709.mp4
17720,drink,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17720.mp4
17721,drink,10,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17721.mp4
17722,drink,10,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17722.mp4
17723,drink,10,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17723.mp4
17724,drink,11,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/17724.mp4
12328,computer,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12328.mp4
12312,computer,38,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12312.mp4
12311,computer,56,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12311.mp4
12338,computer,41,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12338.mp4
12313,computer,38,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12313.mp4
12314,computer,4,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12314.mp4
12315,computer,4,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12315.mp4
12316,computer,4,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12316.mp4
12317,computer,4,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12317.mp4
12318,computer,4,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12318.mp4
12319,computer,45,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12319.mp4
12320,computer,59,test,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12320.mp4
12326,computer,11,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12326.mp4
12327,computer,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/12327.mp4
05728,before,32,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05728.mp4
05749,before,12,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05749.mp4
05750,before,12,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05750.mp4
05729,before,46,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05729.mp4
05730,before,32,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05730.mp4
65167,before,88,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/65167.mp4
05731,before,4,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05731.mp4
05732,before,13,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05732.mp4
05733,before,13,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05733.mp4
05734,before,13,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05734.mp4
05727,before,38,test,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05727.mp4
05739,before,10,test,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05739.mp4
05740,before,10,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05740.mp4
05741,before,11,test,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05741.mp4
05742,before,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05742.mp4
05743,before,11,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/05743.mp4
09848,chair,0,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/09848.mp4
09869,chair,12,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/09869.mp4
09849,chair,38,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/09849.mp4
09850,chair,31,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/09850.mp4
09851,chair,59,val,/Users/tedgoh/buildingblocs_I27/app/archive/videos/09851.mp4
65328,chair,90,train,/Users/tedgoh/buildingblocs_I27/app/archive/videos/65328.mp4
